일반,148510원,NORMAL
반장급 인부,189313원,NORMAL
조력공,160048원,NORMAL
특별 인부,187435원,NORMAL
포설 및 타설공,183371원,NORMAL
비계,262297원,TECH
목수(형틀),242138원,TECH
철근,236805원,TECH
용접공,234564원,TECH
플랜트 용접공,254611원,TECH
플랜트 특수용접공,309714원,TECH
착암공,185264원,TECH
하스리,200625원,TECH
조적,222862원,TECH
석공,226394원,TECH
미장,237304원,TECH
창호공,224380원,TECH
유리공,221409원,TECH
타일,247079원,TECH
도장,229273원,TECH
도배,192426원,TECH
건축목공(인테리어 목수),237273원,TECH
보온공,185212원,TECH
배관공(수도),202689원,TECH
내선전공(실내전기),258917원,TECH
건설기계운전사,229676원,TECH
도편수 및 도석수,421053원,TECH
한옥목수,271227원,TECH
한옥목수조공,202105원,TECH
한옥석공,322914원,TECH
드잡이공,281481원,TECH
한옥미장공,278417원,TECH
한옥기와편수,409618원,TECH
한옥기와공,283446원,TECH
한옥기와조공,250000원,TECH
목조각공,245000원,TECH
한식단청공편수,247727원,TECH
화공,261905원,TECH